_id,_info,_model,cabriolet,city,country,info,make,mileage,model,post_time,price,state,transmission,turbo,year,color
438,2009 Porsche Cayman S - PDK PASM LSD Sport Chrono - Macadamia Brown/Sand Biege,Cayman S,FALSE,Houston,USA,"2009 Porsche Cayman S - PDK, PASM, LSD, Sport Chrono - Macadamia Brown/Sand Biege",Porsche,81500,Cayman,2020-01-07T21:23:00.000Z,30500,TX,Automatic,FALSE,2009,brown
439,Unicorn build C4S X51 PCCB exclusive options,Carrera 4S,FALSE,Burlingame,USA,Unicorn build C4S X51 PCCB exclusive options,Porsche,55000,911,2020-02-02T01:36:00.000Z,45000,CA,Manual,FALSE,2008,gray
440,2011 997.2 GTS,Carrera GTS,FALSE,Austin,USA,2011 997.2 GTS,Porsche,18900,911,2020-02-01T22:05:00.000Z,73000,TX,Automatic,FALSE,2011,gray
441,2006 Porsche 911 Carrera S-Black-6 Speed-Factory Aerokit-HRE Wheels-Low Mileage,Carrera S,FALSE,Naples,34109,2006 Porsche 911 Carrera S-Black-6 Speed-Factory Aerokit-HRE Wheels-Low Mileage,Porsche,25700,911,2020-03-03T19:52:00.000Z,55000,FL,Manual,FALSE,2006,black
442,2007 Cayman S 6MT: Street Car with Tasteful Mods,Cayman S,FALSE,Richmond,23832,2007 Cayman S 6MT: Street Car with Tasteful Mods,Porsche,54200,Cayman,2020-03-01T16:57:00.000Z,32000,VA,Manual,FALSE,2007,gray
443,6 speed - Porsche Cayman S with serious upgrades,Cayman S,FALSE,San Diego,92129,6 speed - Porsche Cayman S with serious upgrades,Porsche,145000,Cayman,2020-03-01T08:24:00.000Z,23900,CA,Manual,FALSE,2007,silver
444,2009 Porsche 911 Carrera 997.2 6MT,Carrera,FALSE,San Francisco,94131,2009 Porsche 911 Carrera 997.2 6MT,Porsche,45500,911,2020-03-01T08:17:00.000Z,47500,CA,Manual,FALSE,2009,white
445,2010 911 Carrera Cabriolet,Carrera,TRUE,San Diego,92103,2010 911 Carrera Cabriolet,Porsche,82900,911,2020-03-01T00:53:00.000Z,35999,CA,Automatic,FALSE,2010,black
446,2012.5 Porsche 991.1 Carerra S,Carrera S,FALSE,Chicago,60515,2012.5 Porsche 991.1 Carerra S,Porsche,39500,911,2020-03-01T01:53:00.000Z,57500,IL,Automatic,FALSE,2012,red
447,Immaculate 2010 911 C4S! 34k miles! Manual Transmission!,Carrera 4S,FALSE,Tucson,85711,Immaculate 2010 911 C4S! 34k miles! Manual Transmission!,Porsche,34050,911,2020-02-19T06:03:00.000Z,59999,AZ,Manual,FALSE,2010,silver
448,F/S 2010 Porsche Cayman PDK (Carrara white/sea blue),Cayman,FALSE,Lighthouse Point,33064,F/S 2010 Porsche Cayman PDK (Carrara white/sea blue),Porsche,57700,Cayman,2020-02-18T21:10:00.000Z,29000,FL,Automatic,FALSE,2010,white
449,feeler: 4.0 Liter 2009 911 C4S 997.2 PDK engine by Jake Raby / Flat Six Innovations,Carrera 4S,FALSE,Lyons,60534,"feeler: 4.0 Liter 2009 911 C4S 997.2 PDK, engine by Jake Raby / Flat Six Innovations",Porsche,80600,911,2020-02-19T22:59:00.000Z,62500,IL,Automatic,FALSE,2009,gray
450,2012 Porsche 997.2 Carrera S PDK Carrera White with Sea Blue Full Leather Interior,Carrera S,FALSE,Boerne,78015,"2012 Porsche 997.2 Carrera S, PDK, Carrera White with Sea Blue Full Leather Interior",Porsche,35800,911,2020-02-18T06:29:00.000Z,56500,TX,Automatic,FALSE,2012,white
451,2007 997TT MT with PCCB,unknown,FALSE,Nashville,37027,2007 997TT MT with PCCB,Porsche,37500,911,2020-02-18T03:35:00.000Z,79000,TN,Manual,TRUE,2007,white
452,911 Turbo S - GT Silver / Cocoa Brown,Turbo S,FALSE,Los Angeles,90008,911 Turbo S - GT Silver / Cocoa Brown,Porsche,27500,911,2020-02-16T23:24:00.000Z,97500,CA,unknown,TRUE,2011,unknown
453,2010 Porsche GT3,GT3,FALSE,Twinsburg,44087,2010 Porsche GT3,Porsche,37000,911,2020-02-15T20:08:00.000Z,98500,OH,Manual,FALSE,2010,white
