album,trackindex,track,albumart_url,,,
Codes and Keys,3,Some Boys,https://upload.wikimedia.org/wikipedia/en/5/5b/Codes_And_Keys_Death_Cab_For_Cutie.jpg,,,
Codes and Keys,4,Doors Unlocked and Open,https://upload.wikimedia.org/wikipedia/en/5/5b/Codes_And_Keys_Death_Cab_For_Cutie.jpg,,,
Codes and Keys,5,You Are a Tourist,https://upload.wikimedia.org/wikipedia/en/5/5b/Codes_And_Keys_Death_Cab_For_Cutie.jpg,,,
Codes and Keys,6,Unobstructed Views,https://upload.wikimedia.org/wikipedia/en/5/5b/Codes_And_Keys_Death_Cab_For_Cutie.jpg,,,
Codes and Keys,7,Monday Morning,https://upload.wikimedia.org/wikipedia/en/5/5b/Codes_And_Keys_Death_Cab_For_Cutie.jpg,,,
Codes and Keys,8,Portable Television,https://upload.wikimedia.org/wikipedia/en/5/5b/Codes_And_Keys_Death_Cab_For_Cutie.jpg,,,
Codes and Keys,9,Underneath the Sycamore,https://upload.wikimedia.org/wikipedia/en/5/5b/Codes_And_Keys_Death_Cab_For_Cutie.jpg,,,
Codes and Keys,10,St. Peter's Cathedral,https://upload.wikimedia.org/wikipedia/en/5/5b/Codes_And_Keys_Death_Cab_For_Cutie.jpg,,,
Codes and Keys,11,"Stay Young, Go Dancing",https://upload.wikimedia.org/wikipedia/en/5/5b/Codes_And_Keys_Death_Cab_For_Cutie.jpg,,,
Kintsugi,1,No Room in Frame,https://upload.wikimedia.org/wikipedia/en/9/94/Death_Cab_For_Cutie_-_Kintsugi.jpg,,,
Kintsugi,2,Black Sun,https://upload.wikimedia.org/wikipedia/en/9/94/Death_Cab_For_Cutie_-_Kintsugi.jpg,,,
Kintsugi,3,The Ghosts of Beverly Drive,https://upload.wikimedia.org/wikipedia/en/9/94/Death_Cab_For_Cutie_-_Kintsugi.jpg,,,
Kintsugi,4,Little Wanderer,https://upload.wikimedia.org/wikipedia/en/9/94/Death_Cab_For_Cutie_-_Kintsugi.jpg,,,
Kintsugi,5,You've Haunted Me All My Life,https://upload.wikimedia.org/wikipedia/en/9/94/Death_Cab_For_Cutie_-_Kintsugi.jpg,,,
Kintsugi,6,Hold No Guns,https://upload.wikimedia.org/wikipedia/en/9/94/Death_Cab_For_Cutie_-_Kintsugi.jpg,,,
Kintsugi,7,Everything's a Ceiling,https://upload.wikimedia.org/wikipedia/en/9/94/Death_Cab_For_Cutie_-_Kintsugi.jpg,,,
Kintsugi,8,Good Help (Is So Hard to Find),https://upload.wikimedia.org/wikipedia/en/9/94/Death_Cab_For_Cutie_-_Kintsugi.jpg,,,
Kintsugi,9,El Dorado,https://upload.wikimedia.org/wikipedia/en/9/94/Death_Cab_For_Cutie_-_Kintsugi.jpg,,,
Kintsugi,10,Ingénue,https://upload.wikimedia.org/wikipedia/en/9/94/Death_Cab_For_Cutie_-_Kintsugi.jpg,,,
Kintsugi,11,Binary Sea,https://upload.wikimedia.org/wikipedia/en/9/94/Death_Cab_For_Cutie_-_Kintsugi.jpg,,,
Thank You for Today,1,I Dreamt We Spoke Again,https://upload.wikimedia.org/wikipedia/en/1/15/Tyftdeathcab.jpg,,,
